Moeda,Preço,Volume em 24 h,Capitalização de mercado,FDV
ether.fi Staked EIGEN  EEIGEN,"US$ 1,03","US$ 5.080,32",US$ 6.299.284,US$ 6.299.284
ether.fi Staked ETH  EETH,"US$ 1.816,63","US$ 92.964,59",US$ 410.493.009,US$ 4.460.809.275
Ethereum  ETH,"US$ 1.818,65",US$ 10.076.028.246,US$ 219.489.549.604,US$ 219.489.549.604
Ethereum Classic  ETC,"US$ 17,05",US$ 62.600.995,US$ 2.586.647.549,US$ 2.586.657.666
Ethereum Name Service  ENS,"US$ 18,19",US$ 83.731.513,US$ 603.113.359,US$ 1.818.491.541
EthereumPoW  ETHW,"US$ 1,98",US$ 73.610.937,US$ 213.350.800,US$ 213.350.800
Ethernity Chain  ERN,"US$ 1,45",US$ 231.124,US$ 34.940.382,US$ 43.621.438
Ethervista  VISTA,"US$ 7,84",US$ 1.434.482,US$ 7.382.720,US$ 7.382.720
Ethix  ETHIX,"US$ 0,1402","US$ 3.814,13",US$ 9.888.112,US$ 14.026.261
ETHPlus  ETH+,"US$ 1.898,94",US$ 359.913,US$ 116.066.683,US$ 116.066.683
Euler  EUL,"US$ 8,59",US$ 1.483.024,US$ 160.493.312,US$ 233.478.011
EUR CoinVertible  EURCV,"US$ 1,14","US$ 113,91",US$ 47.283.146,US$ 47.283.146
EURA  EURA,"US$ 1,14",US$ 262.677,US$ 21.513.657,US$ 21.513.657
EURC  EURC,"US$ 1,14",US$ 26.321.198,US$ 230.513.233,US$ 230.513.233
Euro Tether  EURT,"US$ 1,13",US$ 445.139,US$ 28.883.993,US$ 56.669.957
eVa-ai  $EVA,"US$ 0,08746","US$ 59.373,49",US$ 7.003.000,US$ 8.746.097
Everclear  CLEAR,"US$ 0,01668","US$ 31.673,66",US$ 6.241.978,US$ 16.690.747
Evercraft Ecotechnologies  ECET,"US$ 0,01475","US$ 76.942,76",US$ 10.163.059,US$ 11.637.676
Everscale  EVER,"US$ 0,01482",US$ 178.741,US$ 29.424.308,US$ 31.380.253
EverValue Coin  EVA,"US$ 0,8078","US$ 18.587,56",US$ 10.969.825,US$ 15.167.348
Extra Finance  EXTRA,"US$ 0,02438","US$ 22.044,56",US$ 8.250.859,US$ 21.927.029
f(x) Protocol fxUSD  FXUSD,"US$ 1,00",US$ 906.874,US$ 19.242.927,US$ 19.242.927
Fair and Free  FAIR3,"US$ 0,02944",US$ 1.632.896,US$ 27.548.813,US$ 27.548.813
Falcon USD  USDF,"US$ 1,00",US$ 10.137.256,US$ 175.051.486,US$ 175.051.486
Fantom Bomb  BOMB,"US$ 0,02499","US$ 23.991,54",US$ 12.305.689,US$ 12.305.689
Fartboy  $FARTBOY,"US$ 0,03156",US$ 344.507,US$ 31.539.173,US$ 31.539.173
Fartcoin  FARTCOIN,"US$ 1,03",US$ 189.687.244,US$ 1.032.293.346,US$ 1.032.293.346
Fasttoken  FTN,"US$ 4,28",US$ 55.071.409,US$ 1.844.512.056,US$ 3.730.106.141
FC Barcelona Fan Token  BAR,"US$ 2,00",US$ 7.357.465,US$ 20.245.894,US$ 79.898.380
FEED EVERY GORILLA  FEG,"US$ 0,0001082",US$ 1.796.112,US$ 10.534.060,US$ 10.534.058
Felix feUSD  FEUSD,"US$ 0,9933",US$ 4.451.200,US$ 49.774.761,US$ 49.760.704
Fidu  FIDU,"US$ 0,3853","US$ 20,00",US$ 17.732.132,US$ 17.732.132
Filecoin  FIL,"US$ 2,86",US$ 115.676.514,US$ 1.893.958.503,US$ 5.614.070.362
Fimarkcoin.com  FMC,"US$ 0,002249",US$ 18.128.484,US$ 57.994.031,US$ 288.607.777
Financie Token  FNCT,"US$ 0,001623","US$ 95.906,67",US$ 6.160.588,US$ 32.466.723
Finvesta  FINVESTA,"US$ 27,52",US$ 480.138,US$ 28.670.737,US$ 28.670.307
FIO Protocol  FIO,"US$ 0,01934",US$ 20.267.610,US$ 15.643.185,US$ 19.331.922
Firmachain  FCT,"US$ 0,03298",US$ 755.887,US$ 32.605.796,US$ 33.002.338
Firo  FIRO,"US$ 0,6662",US$ 589.649,US$ 11.470.776,US$ 11.470.851
First Digital USD  FDUSD,"US$ 0,9987",US$ 2.327.555.441,US$ 1.510.977.388,US$ 1.510.977.388
Flamingo Finance  FLM,"US$ 0,03554",US$ 67.240.343,US$ 19.306.440,US$ 19.308.832
Flare  FLR,"US$ 0,01667",US$ 7.686.991,US$ 1.053.417.895,US$ 1.723.041.444
Flare Staked Ether  FLRETH,"US$ 1.845,26","US$ 24.891,56",US$ 6.761.983,US$ 6.761.983
Flayer  FLAY,"US$ 0,015",US$ 737.568,US$ 9.002.637,US$ 15.004.395
FLEX Coin  FLEX,"US$ 0,1627","US$ 42,04",US$ 16.054.505,US$ 16.066.029
flexUSD  FLEXUSD,"US$ 0,07792","US$ 9,47",US$ 12.962.760,US$ 12.962.760
FLOCK  FLOCK,"US$ 0,1023",US$ 6.504.237,US$ 13.617.647,US$ 17.569.344
Flockerz  FLOCK,"US$ 0,0007604","US$ 45.835,32",US$ 9.122.871,US$ 9.122.871
FLOKI  FLOKI,"US$ 0,00008029",US$ 143.532.881,US$ 775.806.643,US$ 802.792.549
Flow  FLOW,"US$ 0,4088",US$ 22.719.695,US$ 645.180.516,US$ 645.180.516
Fluid  FLUID,"US$ 4,35",US$ 4.482.326,US$ 171.392.951,US$ 434.601.532
Flux  FLUX,"US$ 0,3049",US$ 15.391.005,US$ 116.808.079,US$ 116.830.515
Flux  FLUX,"US$ 0,068866",US$ 183.664,US$ 16.184.033,US$ 16.184.033
Flux  FLUX,"US$ 0,3049",US$ 15.391.005,US$ 116.808.079,US$ 116.830.515
Flux  FLUX,"US$ 0,068866",US$ 183.664,US$ 16.184.033,US$ 16.184.033
Flux Protocol  FLX,"US$ 0,02387","US$ 599,15",US$ 6.410.501,US$ 23.872.721
Foom  FOOM,"US$ 0,076517","US$ 33.168,16",US$ 11.403.939,US$ 11.403.939
Forgive Me Father  $PURGE,"US$ 0,008155","US$ 66.475,70",US$ 8.155.380,US$ 8.155.380
Forta  FORT,"US$ 0,08027",US$ 749.048,US$ 45.350.988,US$ 80.321.399
Foxsy AI  FOXSY,"US$ 0,03081",US$ 849.799,US$ 12.877.577,US$ 60.781.412
Foxy  FOXY,"US$ 0,001855",US$ 3.283.813,US$ 7.430.821,US$ 18.577.052
Fractal Bitcoin  FB,"US$ 0,6091",US$ 1.892.305,US$ 17.331.191,US$ 74.635.164
Fracton Protocol  FT,"US$ 0,2444",US$ 2.231.994,US$ 21.404.909,US$ 24.470.523
Frankencoin  ZCHF,"US$ 1,21",US$ 161.229,US$ 12.658.816,US$ 12.658.816
Frax  FRAX,"US$ 0,9998",US$ 8.598.315,US$ 319.780.454,US$ 319.780.454
Frax Ether  FRXETH,"US$ 1.808,14",US$ 1.606.964,US$ 219.225.201,US$ 219.225.201
Frax Price Index Share  FPIS,"US$ 0,5191","US$ 13.987,00",US$ 17.466.875,US$ 51.912.640
Frax Share  FXS,"US$ 2,59",US$ 30.041.333,US$ 230.912.793,US$ 257.751.810
Frax USD  FRXUSD,"US$ 0,9995",US$ 1.730.246,US$ 82.797.771,US$ 82.797.771
Freysa AI  FAI,"US$ 0,01914",US$ 1.480.503,US$ 156.671.806,US$ 156.671.806
Frok.ai  FROK,"US$ 0,05646","US$ 32.258,07",US$ 23.754.163,US$ 23.754.163
Frontier  FRONT,"US$ 0,2214","US$ 88,36",US$ 19.904.999,US$ 19.904.999
Fuel Network  FUEL,"US$ 0,01251",US$ 1.389.246,US$ 58.170.785,US$ 125.742.494
Fulcrom  FUL,"US$ 0,005403","US$ 13.078,27",US$ 11.232.019,US$ 108.057.444
Function ƒBTC  FBTC,"US$ 94.913,56",US$ 102.566,US$ 110.332.466,US$ 1.425.543.085
FUNToken  FUN,"US$ 0,00578",US$ 6.389.468,US$ 61.257.860,US$ 63.575.469
Fusionist  ACE,"US$ 0,6463",US$ 7.466.159,US$ 36.117.922,US$ 94.461.923
Fuzzybear  FUZZY,"US$ 0,00006897",US$ 532.452,US$ 21.891.098,US$ 22.113.540
Fwog  FWOG,"US$ 0,05469",US$ 11.062.501,US$ 53.355.095,US$ 53.355.095
Gains Network  GNS,"US$ 1,59",US$ 1.489.519,US$ 48.377.177,US$ 48.376.786
GALA  GALA,"US$ 0,01778",US$ 67.422.364,US$ 784.940.211,US$ 784.940.211
Galatasaray Fan Token  GAL,"US$ 2,95",US$ 20.680.976,US$ 20.007.406,US$ 29.430.943
Galaxia  GXA,"US$ 0,002403","US$ 17.432,52",US$ 7.094.848,US$ 18.308.445
Galxe  GAL,"US$ 0,9948",US$ 175.808,US$ 127.083.645,US$ 198.957.824
GAMA Coin  GAMA,"US$ 1,69","US$ 17.981,17",US$ 181.494.669,US$ 240.758.473
GAME by Virtuals  GAME,"US$ 0,04898",US$ 7.175.387,US$ 49.111.340,US$ 49.111.340
Game7  G7,"US$ 0,004407",US$ 4.463.510,US$ 10.135.258,US$ 44.066.340
Gamebitcoin Power  PWR,"US$ 0,1166","US$ 5.709,84",US$ 127.515.003,US$ 582.963.643
GameBuild  GAME,"US$ 0,003887",US$ 8.228.133,US$ 67.505.798,US$ 83.296.070
GameFi.org  GAFI,"US$ 1,32",US$ 282.481,US$ 14.408.106,US$ 19.686.756
GamerCoin  GHX,"US$ 0,02472",US$ 424.041,US$ 15.406.426,US$ 19.985.659
Games for a Living  GFAL,"US$ 0,006363",US$ 146.647,US$ 32.820.589,US$ 63.634.912
GammaSwap  GS,"US$ 0,07457","US$ 53.074,55",US$ 16.023.297,US$ 119.305.677
Gas  GAS,"US$ 3,41",US$ 17.679.687,US$ 221.126.093,US$ 221.126.093
Gate  GT,"US$ 22,55",US$ 8.199.549,US$ 2.771.955.501,US$ 6.765.785.320
GATSBY  GATSBY,"US$ 0,1117","US$ 15.907,64",US$ 6.436.400,US$ 11.174.306
Gearbox  GEAR,"US$ 0,003387",US$ 739.757,US$ 33.868.921,US$ 33.868.921
Gelato  GEL,"US$ 0,04783","US$ 91.129,20",US$ 11.865.957,US$ 20.123.024
Gemini Dollar  GUSD,"US$ 0,9992",US$ 25.755.236,US$ 70.020.170,US$ 70.020.170
Gems VIP  GEMS,"US$ 0,03482",US$ 3.262.238,US$ 17.768.787,US$ 29.106.251
GENIUS AI  GNUS,"US$ 1,69","US$ 82.281,33",US$ 20.821.826,US$ 25.710.246
Geodnet  GEOD,"US$ 0,2337",US$ 426.806,US$ 74.169.247,US$ 231.346.403
GHO  GHO,"US$ 0,9995",US$ 14.271.430,US$ 225.374.292,US$ 225.388.656
Gigabrain by virtuals  BRAIN,"US$ 0,007547",US$ 100.260,US$ 7.546.967,US$ 7.546.967
Gigachad  GIGA,"US$ 0,02334",US$ 10.433.143,US$ 224.211.379,US$ 224.211.379
Gitcoin  GTC,"US$ 0,3295",US$ 4.937.450,US$ 20.049.300,US$ 32.941.487
Global Commercial Business  GCB,"US$ 0,07588",US$ 238.417,US$ 91.193.918,US$ 91.193.918
Global Dollar  USDG,"US$ 0,9998",US$ 2.418.578,US$ 257.757.107,US$ 257.757.107
GME  GME,"US$ 0,002024",US$ 2.612.610,US$ 13.921.592,US$ 13.921.592
GME (Ethereum)  GME,"US$ 0,00007609",US$ 321.294,US$ 31.294.219,US$ 31.294.219
GMT  GMT,"US$ 0,05798",US$ 37.070.574,US$ 163.059.147,US$ 297.147.111
GMX  GMX,"US$ 15,91",US$ 8.172.421,US$ 160.652.240,US$ 160.652.240
Gnosis  GNO,"US$ 114,30",US$ 20.972.994,US$ 295.970.293,US$ 342.877.143
Gnosis xDAI Bridged USDC (Gnosis)  USDC,"US$ 0,9992",US$ 514.882,US$ 21.639.912,US$ 21.639.912
Gnosis xDAI Bridged USDC (Gnosis)  USDC.E,"US$ 0,9997",US$ 396.306,US$ 14.237.554,US$ 14.238.441
Gnosis xDai Bridged WETH (Gnosis Chain)  WETH,"US$ 1.814,49",US$ 178.378,US$ 16.193.937,US$ 16.181.145
Goatseus Maximus  GOAT,"US$ 0,08101",US$ 42.331.633,US$ 80.951.766,US$ 80.951.766
Gochujangcoin  GOCHU,"US$ 0,051641",US$ 846.085,US$ 18.340.973,US$ 49.223.581
Gods Unchained  GODS,"US$ 0,1068",US$ 2.698.538,US$ 38.641.189,US$ 53.359.524
GoGoPool  GGP,"US$ 3,65","US$ 5.742,40",US$ 25.917.985,US$ 70.709.179
GoGoPool ggAVAX  GGAVAX,"US$ 24,97",US$ 203.151,US$ 22.826.432,US$ 22.709.699
GOHOME  GOHOME,"US$ 254,42",US$ 7.815.680,US$ 127.111.400,US$ 2.544.067.533
Gold DAO  GOLDAO,"US$ 0,02567","US$ 3.376,10",US$ 18.193.613,US$ 25.518.480
Goldcoin  GLC,"US$ 0,009902","US$ 30,59",US$ 11.347.883,US$ 11.347.884
Goldfinch  GFI,"US$ 0,8756",US$ 664.082,US$ 80.785.101,US$ 99.914.667
Golem  GLM,"US$ 0,2881",US$ 15.463.877,US$ 288.003.983,US$ 288.003.983
GoMining Token  GOMINING,"US$ 0,4111",US$ 9.948.445,US$ 168.299.860,US$ 168.299.860
GoPlus Security  GPS,"US$ 0,02225",US$ 12.041.802,US$ 40.332.453,US$ 222.413.439
Gram  GRAM,"US$ 0,004362","US$ 22.184,68",US$ 10.723.639,US$ 10.723.639
GraphLinq Chain  GLQ,"US$ 0,03034",US$ 313.877,US$ 10.317.171,US$ 15.172.310
Grass  GRASS,"US$ 1,75",US$ 44.165.965,US$ 483.022.404,US$ 1.753.412.811
Gravity (prev. GAL)  G,"US$ 0,01514",US$ 9.009.993,US$ 109.502.249,US$ 181.678.624
GRIFFAIN  GRIFFAIN,"US$ 0,06737",US$ 22.178.820,US$ 67.129.495,US$ 67.129.495
Groestlcoin  GRS,"US$ 0,3522",US$ 1.181.714,US$ 30.789.393,US$ 30.792.332
Grok  $GROK,"US$ 0,002565",US$ 3.059.136,US$ 16.209.033,US$ 16.916.147
GT Protocol  GTAI,"US$ 0,1866",US$ 2.871.299,US$ 7.560.309,US$ 13.974.012
Guardians Of The Spark  GOTS,"US$ 0,3777","US$ 1.782,69",US$ 24.925.530,US$ 45.319.145
Guild of Guardians  GOG,"US$ 0,0172",US$ 1.928.317,US$ 12.479.098,US$ 17.150.240
Gunz  GUN,"US$ 0,06049",US$ 45.835.904,US$ 36.541.812,US$ 604.496.477
GXChain  GXC,"US$ 0,2909","US$ 1.706,47",US$ 21.820.827,US$ 29.094.436
GYEN  GYEN,"US$ 0,006598","US$ 4.404,08",US$ 9.608.130,US$ 9.608.130
Gyroscope GYD  GYD,"US$ 0,9996",US$ 271.530,US$ 24.206.770,US$ 24.206.770
H2O Dao  H2O,"US$ 0,09522","US$ 13.216,94",US$ 78.552.723,US$ 95.215.421
Hacken  HAI,"US$ 0,01884",US$ 293.677,US$ 15.703.106,US$ 18.839.228
HairDAO  HAIR,"US$ 31,09","US$ 7.314,77",US$ 21.131.369,US$ 47.667.837
Hamilton Lane Senior Credit Opportunities Securitize Fund  HLSCOPE,"US$ 1.159,49","$0,00",US$ 9.075.006,US$ 9.075.006
Hamster Kombat  HMSTR,"US$ 0,002759",US$ 22.548.606,US$ 177.598.113,US$ 275.880.564
Hanu Yokia  HANU,"US$ 0,061122","US$ 189,02",US$ 16.805.049,US$ 66.554.252
Harambe AI  HARAMBEAI,"US$ 0,01983","US$ 1.585,88",US$ 7.766.256,US$ 11.619.110
Harmony  ONE,"US$ 0,0136",US$ 11.401.087,US$ 197.718.066,US$ 198.393.513
HarryPotterObamaSonic10Inu (ETH)  BITCOIN,"US$ 0,06269",US$ 3.298.164,US$ 62.677.853,US$ 62.677.853
Harvest Finance  FARM,"US$ 31,65",US$ 1.006.272,US$ 21.272.882,US$ 21.850.022
HashAI  HASHAI,"US$ 0,0003335",US$ 470.594,US$ 29.944.643,US$ 31.799.900
Hashflow  HFT,"US$ 0,07444",US$ 14.538.847,US$ 42.114.029,US$ 74.435.027
HashKey Platform Token  HSK,"US$ 0,3867",US$ 515.965,US$ 51.243.165,US$ 386.740.865
Hashnote USYC  USYC,"US$ 1,08",US$ 260.199,US$ 407.067.946,US$ 407.067.946
HashPack  PACK,"US$ 0,02181",US$ 163.344,US$ 8.698.053,US$ 21.800.546
Hathor  HTR,"US$ 0,02465",US$ 323.346,US$ 11.385.647,US$ 21.411.918
Hatom  HTM,"US$ 0,2741","US$ 45.141,67",US$ 14.243.598,US$ 27.405.245
Hedera  HBAR,"US$ 0,1916",US$ 151.405.281,US$ 8.091.018.615,US$ 9.577.701.021
Hege  HEGE,"US$ 0,009113",US$ 411.375,US$ 9.110.238,US$ 9.110.238
Hegic  HEGIC,"US$ 0,02555","US$ 3.720,34",US$ 27.533.668,US$ 27.533.668
Heima  HEI,"US$ 0,3502",US$ 5.646.603,US$ 26.947.803,US$ 34.984.726
Helium  HNT,"US$ 4,34",US$ 13.505.114,US$ 788.206.183,US$ 968.219.011
Helium IOT  IOT,"US$ 0,0006553","US$ 10.780,81",US$ 16.192.810,US$ 131.064.517
Helium Mobile  MOBILE,"US$ 0,0005492",US$ 1.618.849,US$ 48.485.075,US$ 126.322.488
HERBCOIN  HERB,"US$ 0,2034","US$ 4.374,65",US$ 18.780.249,US$ 20.344.754
Heroes of Mavia  MAVIA,"US$ 0,2941",US$ 25.322.082,US$ 15.179.369,US$ 73.516.106
Hex Trust USD  USDX,"US$ 0,9865","US$ 934,43",US$ 15.511.169,US$ 15.511.169
Hey Anon  ANON,"US$ 5,29",US$ 3.130.989,US$ 69.064.271,US$ 110.768.687
Hifi Finance  HIFI,"US$ 0,2282",US$ 24.844.195,US$ 33.520.122,US$ 38.077.905
HighKey  HIGHKEY,"US$ 0,007381",US$ 1.055.638,US$ 7.043.277,US$ 7.043.277
Hipo Governance Token  HPO,"US$ 0,01584","US$ 2.285,54",US$ 12.631.759,US$ 15.797.210
Hippocrat  HPO,"US$ 0,05036",US$ 1.311.667,US$ 52.106.118,US$ 54.623.968
Hive  HIVE,"US$ 0,2565",US$ 3.901.071,US$ 121.804.474,-
Hive AI  BUZZ,"US$ 0,008435",US$ 9.808.257,US$ 8.429.744,US$ 8.429.744
Hive Dollar  HBD,"US$ 1,01","US$ 7,14",US$ 34.723.579,US$ 34.723.606
Hivemapper  HONEY,"US$ 0,04493",US$ 13.841.939,US$ 182.106.267,US$ 281.737.231
Holdstation  HOLD,"US$ 1,05",US$ 269.109,US$ 8.282.403,US$ 31.437.441
Holo  HOT,"US$ 0,001124",US$ 12.646.565,US$ 199.672.500,US$ 199.672.500
Honey  HONEY,"US$ 0,9999",US$ 12.223.048,US$ 277.282.098,US$ 277.282.098
Hooked Protocol  HOOK,"US$ 0,1492",US$ 4.065.082,US$ 36.566.457,US$ 74.625.423
Hoppy  HOPPY,"US$ 0,00004118",US$ 3.192.755,US$ 17.348.671,US$ 17.348.671
HOPR  HOPR,"US$ 0,04523",US$ 250.883,US$ 23.694.225,US$ 24.854.515
Horizen  ZEN,"US$ 9,65",US$ 8.746.110,US$ 154.144.806,US$ 154.165.532
Houdini Swap  LOCK,"US$ 0,1724","US$ 7.390,28",US$ 16.245.110,US$ 16.245.110
Housecoin  HOUSE,"US$ 0,06535",US$ 56.652.168,US$ 65.721.635,US$ 65.721.635
HUMAN Protocol  HMT,"US$ 0,04388","US$ 34.973,26",US$ 33.264.730,US$ 43.892.598
Humans.ai  HEART,"US$ 0,0123",US$ 727.353,US$ 95.990.130,US$ 95.990.130
Hunt  HUNT,"US$ 0,2713",US$ 1.607.164,US$ 53.951.128,US$ 53.951.128
Huobi  HT,"US$ 0,3323",US$ 143.659,US$ 52.972.060,US$ 66.810.707
Huobi BTC  HBTC,"US$ 7.754,83","US$ 33,41",US$ 7.507.603,US$ 7.507.603
Hydranet  HDN,"US$ 0,04167","US$ 70.670,56",US$ 7.484.070,US$ 12.499.473
Hydration  HDX,"US$ 0,01363",US$ 116.204,US$ 52.511.688,US$ 62.186.892
Hydro Protocol  HDRO,"US$ 0,02604",US$ 103.622,US$ 7.422.078,US$ 26.039.829
HyperGPT  HGPT,"US$ 0,01018",US$ 1.333.655,US$ 7.349.677,US$ 10.160.564
Hyperlane  HYPER,"US$ 0,2196",US$ 84.607.086,US$ 38.469.305,US$ 176.244.944
Hyperliquid  HYPE,"US$ 17,99",US$ 75.642.392,US$ 6.003.798.157,US$ 17.979.136.910
Hypurr Fun  HFUN,"US$ 28,00",US$ 126.571,US$ 27.912.822,US$ 27.912.823
Iagon  IAG,"US$ 0,1913",US$ 736.883,US$ 71.931.483,US$ 191.296.739
Ice Open Network  ICE,"US$ 0,006322",US$ 9.244.864,US$ 42.855.702,US$ 133.438.906
IceCream AI  ICECREAM,"US$ 0,01728",US$ 159.517,US$ 17.207.407,US$ 17.207.407
ICON  ICX,"US$ 0,1087",US$ 2.222.131,US$ 115.344.698,US$ 116.747.488
IDEX  IDEX,"US$ 0,02774",US$ 4.719.552,US$ 26.044.684,US$ 27.743.937
iExec RLC  RLC,"US$ 1,29",US$ 6.828.822,US$ 93.458.252,US$ 112.331.606
IlluminatiCoin  NATI,"US$ 0,065889","US$ 33.316,41",US$ 19.432.387,US$ 19.432.387
Illuvium  ILV,"US$ 15,83",US$ 15.459.064,US$ 119.162.986,US$ 151.649.975
iMe Lab  LIME,"US$ 0,01626",US$ 498.566,US$ 12.288.200,US$ 16.202.026
Immutable  IMX,"US$ 0,625",US$ 51.919.847,US$ 1.135.862.612,US$ 1.250.019.392
IMO  IMO,"US$ 1,47",US$ 156.625,US$ 16.439.309,US$ 27.278.668
Impossible Finance Launchpad  IDIA,"US$ 0,0195","US$ 1.146,60",US$ 14.590.753,US$ 19.496.211
Index Cooperative  INDEX,"US$ 1,55","US$ 81.516,71",US$ 10.436.997,US$ 15.515.409
Indigo Protocol  INDY,"US$ 0,9563","US$ 53.286,51",US$ 16.401.675,US$ 33.470.029
Infinitar Governance Token  IGT,"US$ 0,2615",US$ 7.093.079,US$ 64.349.014,US$ 261.401.773
Infinite Money Glitch  IMG,"US$ 0,006633",US$ 174.225,US$ 6.271.134,US$ 6.271.134
InfinitiCoin  INCO,"US$ 0,009626",US$ 2.180.451,US$ 9.624.665,US$ 9.624.665
Infrared Bera  IBERA,"US$ 3,73",US$ 387.088,US$ 300.264.088,US$ 300.264.088
Infrared BGT  IBGT,"US$ 5,30",US$ 1.636.187,US$ 31.924.779,US$ 31.924.779
Initia  INIT,"US$ 0,922",US$ 269.394.338,US$ 137.983.943,US$ 927.623.143
Injective  INJ,"US$ 10,35",US$ 89.120.182,US$ 1.011.326.104,US$ 1.034.845.871
inSure DeFi  SURE,"US$ 0,001121","US$ 17.900,05",US$ 29.693.408,US$ 98.671.256
Inter Milan Fan Token  INTER,"US$ 0,8625",US$ 1.516.384,US$ 7.349.599,US$ 7.349.599
Internet Computer  ICP,"US$ 5,26",US$ 63.810.125,US$ 2.802.886.034,US$ 2.802.886.034
Inverse Finance  INV,"US$ 29,20","US$ 68.072,18",US$ 17.374.526,US$ 17.960.678
io.net  IO,"US$ 0,8869",US$ 47.583.815,US$ 136.224.520,US$ 709.521.313
IOST  IOST,"US$ 0,004162",US$ 9.020.951,US$ 98.930.551,US$ 98.930.551
IOTA  IOTA,"US$ 0,2106",US$ 25.779.471,US$ 784.825.485,US$ 968.638.026
IoTeX  IOTX,"US$ 0,01948",US$ 9.244.689,US$ 184.033.497,US$ 184.033.497
IQ  IQ,"US$ 0,004543",US$ 5.638.887,US$ 96.580.702,US$ 96.580.702
Iron Fish  IRON,"US$ 0,1489","US$ 68.758,30",US$ 9.332.999,US$ 9.337.707
Islamic Coin  ISLM,"US$ 0,03155",US$ 619.333,US$ 55.861.610,US$ 637.388.756
Italian Brainrot  ITALIANROT,"US$ 0,007084",US$ 10.501.885,US$ 6.983.667,US$ 6.983.667
IXS  IXS,"US$ 0,2182",US$ 417.126,US$ 39.278.919,US$ 39.278.919
Jackal Protocol  JKL,"US$ 0,08134","US$ 24.370,37",US$ 9.632.119,US$ 13.047.561
JAM  JAM,"US$ 0,002464","US$ 3.004,02",US$ 9.854.424,US$ 9.854.424
Jambo  J,"US$ 0,2407",US$ 4.389.216,US$ 38.742.757,US$ 240.626.676
JasmyCoin  JASMY,"US$ 0,01804",US$ 62.572.354,US$ 873.613.233,US$ 902.120.233
Jeff  JEFF,"US$ 6,33","US$ 52.311,86",US$ 6.312.800,US$ 6.312.800
Jelly-My-Jelly  JELLYJELLY,"US$ 0,0369",US$ 33.813.621,US$ 37.051.831,US$ 37.051.831
Jesus Coin  JESUS,"US$ 0,074295","US$ 42.647,54",US$ 6.722.634,US$ 33.403.082
JETT CRYPTO  JETT,"US$ 0,232",US$ 239.488,US$ 16.245.658,US$ 23.208.083
JetTon Games  JETTON,"US$ 0,1928","US$ 24.014,52",US$ 10.483.118,US$ 16.204.226
Jito  JTO,"US$ 1,85",US$ 26.491.458,US$ 593.775.666,US$ 1.850.374.031
JOE  JOE,"US$ 0,2089",US$ 5.917.142,US$ 82.800.170,US$ 104.360.553
Joe Coin  JOE,"US$ 0,01595",US$ 1.371.069,US$ 15.953.553,US$ 15.953.553
Jumbo Blockchain  JNFTC,"US$ 17,98","US$ 17.386,34",US$ 49.031.487,US$ 2.247.737.273
JumpToken  JMPT,"US$ 0,9479","US$ 10.236,68",US$ 13.390.114,US$ 29.095.397
JUNO  JUNO,"US$ 0,1","US$ 70.412,93",US$ 7.953.683,US$ 10.567.061
Jupiter  JUP,"US$ 0,4802",US$ 59.936.245,US$ 1.366.409.906,US$ 3.362.711.100
Jupiter Perpetuals Liquidity Provider Token  JLP,"US$ 4,12",US$ 31.919.614,US$ 1.489.391.002,US$ 1.489.391.002
Jupiter Staked SOL  JUPSOL,"US$ 164,43",US$ 7.351.909,US$ 752.885.609,US$ 752.885.609
JUST  JST,"US$ 0,03269",US$ 37.452.681,US$ 323.749.157,US$ 323.749.157
Just a chill guy  CHILLGUY,"US$ 0,03262",US$ 24.695.328,US$ 32.626.540,US$ 32.626.540
just buy $1 worth of this coin  $1,"US$ 0,007716",US$ 1.650.631,US$ 7.716.859,US$ 7.716.859
Juventus Fan Token  JUV,"US$ 1,09",US$ 10.549.051,US$ 10.079.258,US$ 21.735.035
Kadena  KDA,"US$ 0,5769",US$ 12.558.414,US$ 180.919.484,US$ 180.983.162
Kaia  KAIA,"US$ 0,1159",US$ 10.030.381,US$ 679.133.219,US$ 679.133.241
KAITO  KAITO,"US$ 1,03",US$ 60.901.577,US$ 249.718.149,US$ 1.034.505.566
Kamino  KMNO,"US$ 0,06449",US$ 11.388.999,US$ 87.265.262,US$ 646.409.347
Karate Combat  KARATE,"US$ 0,0001486","US$ 95.942,15",US$ 9.902.219,US$ 16.342.876
Karrat  KARRAT,"US$ 0,07729",US$ 854.441,US$ 19.425.661,US$ 77.170.616
Kaspa  KAS,"US$ 0,1005",US$ 113.426.037,US$ 2.621.006.761,US$ 2.621.304.217
Kasta  KASTA,"US$ 0,01248","US$ 85.984,29",US$ 9.512.518,US$ 18.708.940
Katana Inu  KATA,"US$ 0,0001653",US$ 122.965,US$ 6.247.159,US$ 8.262.397
Kava  KAVA,"US$ 0,4632",US$ 11.313.482,US$ 501.409.729,US$ 501.409.729
KCC Bridged USDT (Kucoin Community Chain)  USDT,"US$ 1,00","US$ 1.298,97",US$ 8.874.293,US$ 8.874.293
Keep Network  KEEP,"US$ 0,09088","US$ 15.383,48",US$ 49.956.115,US$ 90.876.175
Keeta  KTA,"US$ 0,1442",US$ 1.224.859,US$ 57.695.102,US$ 144.237.754
Kekius Maximus  KEKIUS,"US$ 0,03041",US$ 6.880.401,US$ 30.408.572,US$ 30.408.572
